createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal,Scores,Count,mavg,truescore
12/14/2020 1:43,spidershot,12,9mm,0,,84.35374,84,90,89,94,89,78,69,78,439.2578605,441.4985464,399.4267086,422.1313742,380.8232947,453.0371902,525.743297,476.2231064,454.6906209,136,147,2.069928,124,55695,21,53874,53.874
12/15/2020 4:11,spidershot,12,9mm,0,,81.52866,85,76,70,83,90,70,89,89,418.7679544,401.6799841,421.617885,431.2152617,364.8941498,406.9091835,495.6604252,431.0126019,408.4203814,144,157,2.13660622,128,55827,22,55806.66667,55.80666667
12/16/2020 0:07,spidershot,12,9mm,0,,83.11688,90,90,85,80,65,82,82,89,425.7361074,399.9114653,385.5072835,399.1250084,414.4124627,466.6446731,468.6085063,454.9171971,437.68563,140,154,2.136692,128,55964,23,55828.66667,55.82866667
12/16/2020 0:08,spidershot,12,9mm,0,,86.27451,82,86,100,88,83,81,94,79,420.6805909,412.6805471,367.4254276,369.4512199,390.5586901,460.1314552,501.9084794,422.5251587,426.4985561,142,153,2.20342684,132,60705,24,57498.66667,57.49866667
12/17/2020 2:17,spidershot,12,9mm,0,,84.56376,76,95,93,94,85,89,76,71,442.315987,489.7317895,390.5929701,401.3576829,428.4239556,440.2846872,450.969635,492.9418945,465.5479911,136,149,2.10329628,126,56066,25,57578.33333,57.57833333
12/17/2020 2:19,spidershot,12,9mm,0,,86.6666641,94,88,81,81,82,84,85,95,433.9955977,372.2156266,409.0429644,425.875551,426.9445014,447.6963024,477.3839366,498.7257843,434.6932068,138,150,2.17002034,130,59042,26,58604.33333,58.60433333
12/18/2020 6:18,spidershot,12,9mm,0,,86.6666641,94,100,89,81,71,85,84,95,433.2294218,432.1439247,404.1479675,362.3347826,411.0176239,495.3604223,427.9975423,481.8498657,431.80113,138,150,2.1701014,130,58654,27,57920.66667,57.92066667
12/18/2020 6:19,spidershot,12,9mm,0,,85.3333359,81,89,94,88,95,75,78,81,430.0125268,402.3449492,441.7699833,452.9580775,371.7931608,443.1834467,445.571265,425.2963276,454.5924324,140,150,2.13665938,128,58779,28,58825,58.825
12/19/2020 3:56,spidershot,12,9mm,0,,79.3333359,86,93,89,89,70,61,67,89,448.8269136,384.0904519,389.8586349,423.2927017,384.4445886,483.1160389,522.9998288,545.5579878,434.1134482,134,150,1.986381,119,51910,29,56447.66667,56.44766667
12/19/2020 3:58,spidershot,12,9mm,0,,85.71429,93,79,90,100,80,74,82,89,441.6724612,448.9394572,391.0463603,405.5333969,435.8824675,442.1333345,488.8451974,511.2838463,437.4358864,136,147,2.10325241,126,57113,30,55934,55.934
12/20/2020 3:47,spidershot,12,9mm,0,,79.22078,83,94,78,79,94,78,67,67,441.9266802,394.7363569,402.3801108,421.1062907,453.6744682,419.8517169,412.0365641,480.0827691,546.9730314,136,154,2.03644586,122,53136,31,54053,54.053
12/20/2020 3:49,spidershot,12,9mm,0,,77.4834442,71,88,89,79,80,67,70,78,453.6678908,471.7026717,387.1893899,477.0352801,381.5616392,457.189315,483.7667389,421.569155,524.3558792,132,151,1.95308113,117,50971,32,53740,53.74
12/20/2020 3:51,spidershot,12,9mm,0,,80.51948,83,79,94,82,70,67,89,88,431.1283556,478.075765,458.7419908,381.1820061,355.5745888,434.9275581,506.4610433,394.849762,448.8016261,138,154,2.06993365,124,54289,33,52798.66667,52.79866667
12/20/2020 23:11,spidershot,12,9mm,0,,84.31373,89,94,81,79,75,80,81,95,421.4103293,407.3981147,373.6867091,393.6156022,374.6978371,521.5763912,468.4487784,475.7331839,391.7837453,144,153,2.15330529,129,59058,34,54772.66667,54.77266667
12/20/2020 23:13,spidershot,12,9mm,0,,78.94737,68,78,76,80,79,84,81,84,444.7557757,381.5977065,469.3251295,392.355274,396.358021,573.9876709,440.2325614,462.3363464,427.7161865,136,152,2.00306749,120,53222,35,55523,55.523
12/21/2020 23:31,spidershot,12,9mm,0,,81.8181839,84,83,87,87,80,78,70,90,436.7575482,412.444397,400.5695,377.9910475,357.3653977,493.0219925,517.2881056,482.4510064,434.9738145,138,154,2.10333562,126,55398,36,55892.66667,55.89266667
12/24/2020 6:02,spidershot,12,9mm,0,,87.07483,84,95,100,94,74,83,71,95,427.4530934,398.2318581,397.9292081,384.2794001,372.0126411,528.2353617,496.3731995,468.664869,411.166369,140,147,2.13667369,128,59440,37,56020,56.02
12/24/2020 6:04,spidershot,12,9mm,0,,86.84211,100,84,88,94,76,90,84,79,412.517633,378.2311389,371.2921102,393.0265645,408.5223604,443.6436859,478.461204,429.1799156,406.1726801,146,152,2.20343,132,61660,38,58832.66667,58.83266667
12/24/2020 21:22,spidershot,12,9mm,0,,77.01864,77,83,85,78,75,64,86,74,437.9158758,423.835038,431.2943649,421.9136271,375.054946,478.4586014,512.5081116,400.1680385,455.0849304,136,161,2.06982422,124,52236,39,57778.66667,57.77866667
12/24/2020 21:23,spidershot,12,9mm,0,,82.38994,78,70,95,80,94,75,84,82,421.0070756,385.8835364,439.6066647,404.2669164,412.5152047,444.2087456,431.8280804,401.6412144,457.9230347,144,159,2.1867485,131,57946,40,57280.66667,57.28066667
12/25/2020 23:43,spidershot,12,9mm,0,,83.33333,89,94,95,77,76,83,68,82,419.6264206,363.2693268,358.2321608,395.3626709,419.9537842,442.1828172,483.6033609,450.8424034,467.4759064,142,156,2.16996646,130,58251,41,56144.33333,56.14433333
12/27/2020 1:30,spidershot,12,9mm,0,,86.53847,94,89,94,90,86,94,79,68,407.3403482,372.3770519,364.9666668,385.9663141,351.0689191,479.9968094,435.5963936,402.0874105,468.7501927,148,156,2.25346279,135,63525,42,59907.33333,59.90733333
12/27/2020 1:31,spidershot,12,9mm,0,,86.9863052,100,95,84,71,94,82,74,95,431.1798194,375.8334244,379.1198001,414.4687864,370.9290365,396.6075928,437.9095677,634.5312895,451.1799156,138,146,2.12001157,127,58686,43,60154,60.154
12/27/2020 22:11,spidershot,12,9mm,0,,83.00654,95,72,81,88,89,64,81,100,429.2970041,376.6782885,447.8890533,437.6241642,350.4697153,451.3885121,609.1957615,412.4074666,390.1763593,140,153,2.11991715,127,58218,44,60143,60.143
12/27/2020 22:12,spidershot,12,9mm,0,,84.8684158,95,89,87,95,76,79,79,77,410.8061298,344.8593547,414.5735377,383.1731945,369.894656,406.0945011,456.5766013,524.413511,456.6778931,146,152,2.15335083,129,60720,45,59208,59.208
12/27/2020 22:13,spidershot,12,9mm,0,,85.98727,88,77,79,95,90,87,76,95,403.3752714,374.0786133,390.0762329,407.268052,383.1905228,403.3494761,448.688158,459.3527944,369.3776923,150,157,2.25346613,135,63607,46,60848.33333,60.84833333
